SceneName,Person1,Person2,Fukidashi,Place,Serif
Hint8,HintMan,None,L,Hint,ひかる おきゃくは てごわいが／おかね も ドロップも／ゴージャス
Hint8,HintMan,None,L,Hint,とっておき の しょくざいを／ぶつけよう
Hint9,HintMan,None,L,Hint,わたしは ヒント・マン
Hint9,HintMan,None,L,Hint,パワーの たかい にくは／カルマも たかい／けいこう に ある
Hint9,HintMan,None,L,Hint,つかいすぎる と／カルマが すぐ たまるぞ
Hint9,HintMan,None,L,Hint,せつやく しよう
Hint9,HintMan,None,L,Hint,しけた おきゃく ばかりの とき／しょぼい にくを つかっても／いいじゃないか
Hint9,HintMan,None,L,Hint,それが けいえいしゃ マインドだ
Hint10,HintGirl,None,L,Hint,わたしは ヒント・ガール
Hint10,HintGirl,None,L,Hint,たべられない もの や／くさった もの は／カルマ が たかいわ
Hint10,HintGirl,None,L,Hint,たべられる ものを だしましょう
Hint11,HintGirl,None,L,Hint,わたしは ヒント・ガール
Hint11,HintGirl,None,L,Hint,かんぺき に クリアする には／いっせんまんえん ひつようだけど
Hint11,HintGirl,None,L,Hint,あるていど かせいで いれば／たりなくても クリアできるわ
Hint11,HintGirl,None,L,Hint,スコア は さがるけどね
Hint12,HintMan,None,L,Hint,わたしは ヒント・マン
Hint12,HintMan,None,L,Hint,おきゃく を にく に したほうが／もちもの を もらう より トク／とは かぎらない
Hint12,HintMan,None,L,Hint,レア な おきゃく は／もちものが ゴージャス な／けいこう あるぞ
Hint13,HintMan,None,L,Hint,わたしは ヒント・マン
Hint13,HintMan,None,L,Hint,おきゃく の いろ や パワーは／しゅぞく に よって／おおよそ きまっている
Hint13,HintMan,None,L,Hint,が じゃっかん の こじんさ も ある
Hint14,HintGirl,None,L,Hint,わたしは ヒント・ガール
Hint14,HintGirl,None,L,Hint,おおかみ は／あかずきん の にくがすき
Hint14,HintGirl,None,L,Hint,そういう かんけい／ちょくちょく あるわよ
Hint14,HintGirl,None,L,Hint,ぜったい では ないけど／いろ や パワー が／あっているのね
Hint15,HintMan,None,L,Hint,わたしは ヒント・マン
Hint15,HintMan,None,L,Hint,カルマ を おそれすぎると／おかね は かせげないぞ
Hint15,HintMan,None,L,Hint,リスク を とらねば いっかげつ で／いっせんまえん は かせげない…／いっぱんろん と してもな
Hint15,HintMan,None,L,Hint,それが けいえいしゃ マインドだ
Hint16,HintMan,None,L,Hint,わたしは ヒント・マン
Hint16,HintMan,None,L,Hint,ちょろい おきゃく に／こうきゅう しょくざい…／それは ムダ
Hint16,HintMan,None,L,Hint,てごわい おきゃく に／しょぼい しょくざい…／それでは かせげない
Hint16,HintMan,None,L,Hint,きゃくそう を みて／ちょうどよく さばく のが／コツだ
Hint16,HintMan,None,L,Hint,さべつ ではない／これは ターゲティング です
Hint17,HintMan,None,L,Hint,わたしは ヒント・マン
Hint17,HintMan,None,L,Hint,カルマ…／それは つみ
Hint17,HintMan,None,L,Hint,つみぶかい しょくざい を／つかった とき／ カルマ が たまる
Hint17,HintMan,None,L,Hint,まんたん に なると／たいほ されて／ゲームオーバー だ
Hint17,HintMan,None,L,Hint,ぎゃくにいえば／まんたん に ならないかぎり／だいじょうぶ
Hint17,HintMan,None,L,Hint,まんたんに なるまでは／なんの デメリット も ないぞ
Hint18,HintMan,None,L,Hint,わたしは ヒント・マン
Hint18,HintMan,None,L,Hint,いっせんまんえん かせぐには／ひかる おきゃく が／カギだ
Hint18,HintMan,None,L,Hint,ひかる おきゃく を／どれだけ こうりつ よく／おとしていくか…
Hint18,HintMan,None,L,Hint,ぜんいん は ムリだけど／ねらえる とき は／ねらって いきたい
Hint19,HintGirl,None,L,Hint,わたしは ヒント・ガール
Hint19,HintGirl,None,L,Hint,カルマ は／レベルアップ の とき／きまった りょう さがる
Hint19,HintGirl,None,L,Hint,だから じょばん は／あんまり きにしなくて いいよ
Hint19,HintGirl,None,L,Hint,まあ ゆだん してると／いつのまにか たまるんだけど
Hint19,HintGirl,None,L,Hint,そういうもの よ
Hint20,HintGirl,None,L,Hint,わたしは ヒント・ガール
Hint20,HintGirl,None,L,Hint,カルマ の ひくい しょくざい も／キープして おかないと
Hint20,HintGirl,None,L,Hint,カルマ が あがってきたとき／つむわよ
Hint20,HintGirl,None,L,Hint,たまにね
